time, value, value2
521620, 2267, 2569
521624, 2269, 2573
521628, 2267, 2571
521632, 2271, 2576
521636, 2272, 2576
521640, 2265, 2569
521644, 2269, 2569
521648, 2269, 2573
521652, 2269, 2576
521656, 2272, 2576
521660, 2269, 2567
521664, 2269, 2572
521668, 2266, 2571
521672, 2271, 2576
521676, 2273, 2576
521680, 2267, 2569
521684, 2266, 2571
521688, 2268, 2571
521692, 2271, 2576
521696, 2273, 2576
521700, 2268, 2570
521704, 2270, 2573
521708, 2266, 2571
521712, 2271, 2575
521716, 2271, 2576
521720, 2266, 2569
521724, 2269, 2572
521728, 2267, 2573
521732, 2271, 2575
521736, 2272, 2576
521740, 2265, 2571
521744, 2267, 2573
521748, 2269, 2567
521752, 2271, 2575
521756, 2273, 2576
521760, 2265, 2569
521764, 2266, 2573
521768, 2267, 2571
521772, 2271, 2576
521776, 2272, 2576
521780, 2267, 2569
521784, 2267, 2571
521788, 2267, 2571
521792, 2270, 2576
521796, 2271, 2576
521800, 2266, 2569
521804, 2267, 2570
521808, 2266, 2572
521812, 2270, 2575
521816, 2272, 2576
521820, 2265, 2568
521824, 2269, 2574
521828, 2268, 2571
521832, 2269, 2575
521836, 2271, 2576
521840, 2267, 2571
521844, 2267, 2572
521848, 2266, 2570
521852, 2271, 2576
521856, 2273, 2576
521860, 2263, 2571
521864, 2269, 2573
521868, 2269, 2569
521872, 2269, 2571
521876, 2274, 2576
521880, 2267, 2569
521884, 2269, 2573
521888, 2268, 2570
521892, 2271, 2576
521896, 2271, 2576
521900, 2263, 2569
521904, 2266, 2571
521908, 2269, 2572
521912, 2270, 2576
521916, 2270, 2576
521920, 2266, 2569
521924, 2267, 2570
521928, 2269, 2570
521932, 2271, 2574
521936, 2272, 2576
521940, 2263, 2571
521944, 2269, 2569
521948, 2268, 2569
521952, 2271, 2575
521956, 2271, 2577
521960, 2263, 2569
521964, 2269, 2571
521968, 2267, 2571
521972, 2271, 2575
521976, 2272, 2576
521980, 2267, 2571
521984, 2268, 2559
521988, 2269, 2572
521992, 2269, 2576
521996, 2273, 2576
522000, 2266, 2571
522004, 2267, 2575
522008, 2266, 2572
522012, 2270, 2575
522016, 2270, 2575
522020, 2267, 2569
522024, 2269, 2574
522028, 2266, 2571
522032, 2270, 2576
522036, 2272, 2576
522040, 2266, 2569
522044, 2270, 2571
522048, 2267, 2572
522052, 2269, 2575
522056, 2273, 2576
522060, 2267, 2570
522064, 2269, 2573
522068, 2267, 2570
522072, 2273, 2576
522076, 2273, 2577
522080, 2267, 2567
522084, 2266, 2574
522088, 2268, 2573
522092, 2270, 2576
522096, 2273, 2576
522100, 2266, 2570
522104, 2267, 2572
522108, 2268, 2570
522112, 2274, 2576
522116, 2274, 2576
522120, 2265, 2570
522124, 2266, 2573
522128, 2268, 2571
522132, 2271, 2576
522136, 2273, 2577
522140, 2266, 2559
522144, 2267, 2571
522148, 2266, 2571
522152, 2270, 2576
522156, 2273, 2576
522160, 2267, 2571
522164, 2269, 2571
522168, 2270, 2571
522172, 2271, 2576
522176, 2270, 2577
522180, 2267, 2569
522184, 2268, 2574
522188, 2271, 2571
522192, 2269, 2576
522196, 2273, 2577
522200, 2266, 2570
522204, 2270, 2573
522208, 2267, 2575
522212, 2269, 2575
522216, 2272, 2575
522220, 2270, 2570
522224, 2267, 2573
522228, 2268, 2574
522232, 2270, 2576
522236, 2272, 2576
522240, 2266, 2567
522244, 2267, 2574
522248, 2269, 2573
522252, 2269, 2576
522256, 2271, 2576
522260, 2268, 2570
522264, 2267, 2571
522268, 2268, 2570
522272, 2270, 2576
522276, 2272, 2576
522280, 2266, 2570
522284, 2267, 2571
522288, 2268, 2572
522292, 2269, 2574
522296, 2272, 2576
522300, 2267, 2567
522304, 2268, 2570
522308, 2266, 2572
522312, 2269, 2574
522316, 2272, 2576
522320, 2266, 2570
522324, 2269, 2571
522328, 2269, 2571
522332, 2269, 2573
522336, 2273, 2576
522340, 2266, 2570
522344, 2268, 2571
522348, 2267, 2571
522352, 2270, 2574
522356, 2273, 2576
522360, 2267, 2570
522364, 2268, 2571
522368, 2269, 2571
522372, 2271, 2575
522376, 2272, 2576
522380, 2265, 2569
522384, 2269, 2575
522388, 2267, 2570
522392, 2271, 2575
522396, 2273, 2576
522400, 2268, 2569
522404, 2269, 2572
522408, 2267, 2571
522412, 2270, 2576
522416, 2274, 2576
522420, 2268, 2571
522424, 2267, 2573
522428, 2269, 2570
522432, 2271, 2576
522436, 2270, 2576
522440, 2266, 2569
522444, 2266, 2574
522448, 2269, 2573
522452, 2270, 2576
522456, 2272, 2577
522460, 2266, 2571
522464, 2267, 2574
522468, 2267, 2573
522472, 2269, 2575
522476, 2272, 2576
522480, 2266, 2571
522484, 2267, 2574
522488, 2267, 2571
522492, 2269, 2576
522496, 2272, 2576
522500, 2269, 2569
522504, 2268, 2571
522508, 2269, 2573
522512, 2271, 2576
