time, value
15, 1875
19, 1877
23, 1877
27, 1876
31, 1878
35, 1875
39, 1884
43, 1881
47, 1878
51, 1878
55, 1875
59, 1877
63, 1879
67, 1875
71, 1879
75, 1877
79, 1875
83, 1874
87, 1875
91, 1875
95, 1878
99, 1879
103, 1877
107, 1874
111, 1875
115, 1877
119, 1875
123, 1879
127, 1873
131, 1879
135, 1879
139, 1875
143, 1875
147, 1877
151, 1878
155, 1876
159, 1878
163, 1878
167, 1873
171, 1879
175, 1878
179, 1882
183, 1878
187, 1873
191, 1875
195, 1877
199, 1881
203, 1873
207, 1878
211, 1875
215, 1879
219, 1877
223, 1882
227, 1875
231, 1875
235, 1872
239, 1879
243, 1883
247, 1874
251, 1876
255, 1878
259, 1878
263, 1879
267, 1876
271, 1878
275, 1877
279, 1877
283, 1875
287, 1878
291, 1878
295, 1875
299, 1878
303, 1878
307, 1877
311, 1875
315, 1877
319, 1879
323, 1881
327, 1874
331, 1881
335, 1877
339, 1872
343, 1880
347, 1877
351, 1877
355, 1873
359, 1877
363, 1877
367, 1875
371, 1873
375, 1875
379, 1878
383, 1879
387, 1878
391, 1874
395, 1875
399, 1875
403, 1878
407, 1875
411, 1877
415, 1877
419, 1882
423, 1879
427, 1877
431, 1877
435, 1877
439, 1879
443, 1877
447, 1878
451, 1876
455, 1878
459, 1881
463, 1878
467, 1872
471, 1875
475, 1875
479, 1882
483, 1877
487, 1875
491, 1875
495, 1879
499, 1873
503, 1875
507, 1874
511, 1873
515, 1879
519, 1877
523, 1875
527, 1877
531, 1877
535, 1875
539, 1879
543, 1878
547, 1877
551, 1875
555, 1875
559, 1879
563, 1877
567, 1879
571, 1873
575, 1877
579, 1879
583, 1878
587, 1874
591, 1874
595, 1875
599, 1878
603, 1876
607, 1876
611, 1876
615, 1878
619, 1879
623, 1876
627, 1872
631, 1876
635, 1881
639, 1879
643, 1878
647, 1875
651, 1875
655, 1874
659, 1875
663, 1873
667, 1877
671, 1877
675, 1878
679, 1876
683, 1875
687, 1875
691, 1875
695, 1876
699, 1876
703, 1875
707, 1875
711, 1879
715, 1877
719, 1875
723, 1876
727, 1873
731, 1876
735, 1877
739, 1877
743, 1875
747, 1875
751, 1872
755, 1877
759, 1875
763, 1878
767, 1877
771, 1876
775, 1878
779, 1881
783, 1879
787, 1882
791, 1876
795, 1875
799, 1877
803, 1877
807, 1873
811, 1876
815, 1878
819, 1877
823, 1877
827, 1876
831, 1875
835, 1875
839, 1874
843, 1876
847, 1873
851, 1875
855, 1879
859, 1875
863, 1876
867, 1876
871, 1874
875, 1879
879, 1878
883, 1874
887, 1876
891, 1875
895, 1877
899, 1874
903, 1875
907, 1874
911, 1877
915, 1877
919, 1874
923, 1872
927, 1875
931, 1879
935, 1875
939, 1875
943, 1877
947, 1879
951, 1875
955, 1876
959, 1877
963, 1879
967, 1874
971, 1877
975, 1878
979, 1879
983, 1875
987, 1877
991, 1878
995, 1874
999, 1875
1003, 1879
1007, 1873
1011, 1876
1015, 1879
1019, 1874
1023, 1877
1027, 1875
1031, 1877
1035, 1875
1039, 1878
1043, 1878
1047, 1874
1051, 1873
1055, 1877
1059, 1877
1063, 1876
1067, 1875
1071, 1874
1075, 1877
1079, 1878
1083, 1878
1087, 1877
1091, 1879
1095, 1875
1099, 1881
1103, 1877
1107, 1877
1111, 1878
1115, 1881
1119, 1874
1123, 1874
1127, 1875
1131, 1873
1135, 1877
1139, 1877
1143, 1879
1147, 1876
1151, 1874
1155, 1877
1159, 1877
1163, 1877
1167, 1877
1171, 1879
1175, 1878
1179, 1874
1183, 1878
1187, 1877
1191, 1877
1195, 1876
1199, 1879
1203, 1879
1207, 1874
1211, 1878
1215, 1877
1219, 1886
1223, 1873
1227, 1879
1231, 1874
1235, 1877
1239, 1879
1243, 1877
1247, 1877
1251, 1878
1255, 1877
1259, 1879
1263, 1877
1267, 1873
1271, 1877
1275, 1878
1279, 1872
1283, 1876
1287, 1872
1291, 1875
1295, 1877
1299, 1879
1303, 1874
1307, 1879
1311, 1875
1315, 1879
1319, 1877
1323, 1876
1327, 1875
1331, 1879
1335, 1877
1339, 1878
1343, 1877
1347, 1876
1351, 1877
1355, 1873
1359, 1875
1363, 1877
1367, 1874
1371, 1875
1375, 1878
1379, 1871
1383, 1877
1387, 1877
1391, 1878
1395, 1879
1399, 1874
1403, 1875
1407, 1877
1411, 1875
1415, 1875
1419, 1879
