time, value
15, 1844
17, 1843
19, 1843
21, 1844
23, 1844
25, 1842
27, 1843
29, 1843
31, 1843
33, 1845
35, 1844
37, 1842
39, 1842
41, 1847
43, 1843
45, 1844
47, 1845
49, 1843
51, 1843
53, 1844
55, 1845
57, 1844
59, 1843
61, 1844
63, 1845
65, 1843
67, 1842
69, 1845
71, 1846
73, 1845
75, 1843
77, 1845
79, 1843
81, 1843
83, 1842
85, 1845
87, 1845
89, 1845
91, 1843
93, 1843
95, 1845
97, 1844
99, 1843
101, 1841
103, 1845
105, 1843
107, 1844
109, 1843
111, 1844
113, 1844
115, 1843
117, 1845
119, 1845
121, 1846
123, 1845
125, 1844
127, 1843
129, 1843
131, 1847
133, 1845
135, 1843
137, 1842
139, 1845
141, 1843
143, 1846
145, 1845
147, 1845
149, 1843
151, 1845
153, 1844
155, 1844
157, 1845
159, 1847
161, 1843
163, 1843
165, 1845
167, 1843
169, 1843
171, 1844
173, 1846
175, 1846
177, 1845
179, 1845
181, 1845
183, 1843
185, 1843
187, 1845
189, 1844
191, 1843
193, 1845
195, 1846
197, 1844
199, 1843
201, 1845
203, 1846
205, 1845
207, 1844
209, 1844
211, 1843
213, 1845
215, 1843
217, 1843
219, 1845
221, 1845
223, 1845
225, 1845
227, 1845
229, 1845
231, 1844
233, 1843
235, 1843
237, 1844
239, 1845
241, 1846
243, 1843
245, 1845
247, 1844
249, 1846
251, 1845
253, 1844
255, 1844
257, 1845
259, 1844
261, 1844
263, 1847
265, 1844
267, 1844
269, 1842
271, 1844
273, 1846
275, 1844
277, 1843
279, 1845
281, 1844
283, 1844
285, 1844
287, 1843
289, 1845
291, 1843
293, 1845
295, 1843
297, 1845
299, 1843
301, 1845
303, 1842
305, 1844
307, 1844
309, 1845
311, 1845
313, 1846
315, 1846
317, 1843
319, 1845
321, 1845
323, 1845
325, 1843
327, 1844
329, 1844
331, 1842
333, 1844
335, 1845
337, 1846
339, 1846
341, 1846
343, 1846
345, 1844
347, 1845
349, 1843
351, 1845
353, 1845
355, 1843
357, 1845
359, 1844
361, 1845
363, 1843
365, 1846
367, 1845
369, 1845
371, 1845
373, 1845
375, 1843
377, 1844
379, 1846
381, 1846
383, 1845
385, 1847
387, 1844
389, 1843
391, 1847
393, 1845
395, 1845
397, 1845
399, 1845
401, 1843
403, 1846
405, 1845
407, 1845
409, 1844
411, 1846
413, 1846
415, 1846
417, 1843
419, 1844
421, 1845
423, 1845
425, 1845
427, 1846
429, 1841
431, 1846
433, 1844
435, 1845
437, 1845
439, 1844
441, 1845
443, 1843
445, 1842
447, 1846
449, 1845
451, 1846
453, 1844
455, 1847
457, 1845
459, 1845
461, 1845
463, 1845
465, 1845
467, 1845
469, 1845
471, 1845
473, 1846
475, 1845
477, 1845
479, 1843
481, 1844
483, 1843
485, 1845
487, 1845
489, 1846
491, 1843
493, 1844
495, 1841
497, 1845
499, 1845
501, 1843
503, 1845
505, 1843
507, 1842
509, 1845
511, 1843
513, 1844
515, 1846
517, 1845
519, 1843
521, 1845
523, 1843
525, 1846
527, 1844
529, 1846
531, 1842
533, 1845
535, 1845
537, 1843
539, 1846
541, 1845
543, 1845
545, 1845
547, 1845
549, 1845
551, 1843
553, 1846
555, 1846
557, 1843
559, 1847
561, 1843
563, 1845
565, 1844
567, 1845
569, 1846
571, 1845
573, 1845
575, 1843
577, 1845
579, 1845
581, 1845
583, 1845
585, 1845
587, 1845
589, 1843
591, 1843
593, 1843
595, 1846
597, 1845
599, 1845
601, 1845
603, 1846
605, 1846
607, 1845
609, 1845
611, 1843
613, 1846
615, 1843
617, 1844
619, 1845
621, 1845
623, 1844
625, 1845
627, 1844
629, 1843
631, 1845
633, 1845
635, 1843
637, 1845
639, 1845
641, 1843
643, 1845
645, 1845
647, 1844
649, 1845
651, 1843
653, 1845
655, 1846
657, 1847
659, 1845
661, 1845
663, 1845
665, 1843
667, 1844
669, 1843
671, 1844
673, 1843
675, 1843
677, 1845
679, 1845
681, 1844
683, 1845
685, 1843
687, 1845
689, 1846
691, 1845
693, 1847
695, 1843
697, 1843
699, 1844
701, 1845
703, 1846
705, 1845
707, 1844
709, 1844
711, 1845
713, 1843
715, 1847
717, 1846
719, 1846
721, 1846
723, 1842
725, 1846
727, 1845
729, 1847
731, 1846
733, 1844
735, 1842
737, 1845
739, 1845
741, 1846
743, 1846
745, 1846
747, 1845
749, 1845
751, 1845
753, 1845
755, 1844
757, 1845
759, 1846
761, 1845
763, 1844
765, 1844
767, 1845
769, 1842
771, 1843
773, 1845
775, 1845
777, 1843
779, 1844
781, 1844
783, 1843
785, 1845
787, 1845
789, 1843
791, 1844
793, 1845
795, 1845
797, 1845
799, 1846
801, 1846
803, 1845
805, 1847
807, 1843
809, 1845
811, 1845
813, 1846
815, 1843
817, 1843
819, 1844
821, 1845
823, 1843
825, 1844
827, 1845
829, 1841
831, 1844
833, 1845
835, 1846
837, 1845
839, 1843
841, 1847
843, 1845
845, 1845
847, 1845
849, 1845
851, 1845
853, 1845
855, 1843
857, 1845
859, 1846
861, 1846
863, 1845
865, 1845
867, 1845
869, 1846
871, 1845
873, 1846
875, 1843
877, 1845
879, 1844
881, 1844
883, 1845
885, 1846
887, 1845
889, 1843
891, 1844
893, 1843
895, 1845
897, 1845
899, 1844
901, 1846
903, 1843
905, 1846
907, 1845
909, 1843
911, 1846
913, 1846
915, 1845
917, 1846
919, 1846
921, 1846
923, 1846
925, 1845
927, 1844
929, 1846
931, 1847
933, 1847
935, 1845
937, 1845
939, 1846
941, 1846
943, 1845
945, 1846
947, 1845
949, 1843
951, 1845
953, 1846
955, 1845
957, 1845
959, 1843
961, 1849
963, 1847
965, 1847
967, 1845
969, 1845
971, 1843
973, 1843
975, 1847
977, 1846
979, 1845
981, 1845
983, 1846
985, 1845
987, 1843
989, 1842
991, 1849
993, 1845
995, 1846
997, 1843
999, 1845
1001, 1847
1003, 1843
1005, 1845
1007, 1843
1009, 1844
1011, 1846
1013, 1845
1015, 1846
1017, 1845
1019, 1842
1021, 1845
1023, 1845
1025, 1844
1027, 1846
1029, 1845
1031, 1845
1033, 1845
1035, 1845
1037, 1845
1039, 1844
1041, 1845
1043, 1843
1045, 1844
1047, 1845
1049, 1843
1051, 1846
1053, 1845
1055, 1843
1057, 1846
1059, 1845
1061, 1843
1063, 1844
1065, 1845
1067, 1845
1069, 1843
1071, 1845
1073, 1844
1075, 1845
1077, 1847
1079, 1845
1081, 1845
1083, 1844
1085, 1842
1087, 1845
1089, 1842
1091, 1844
1093, 1847
1095, 1843
1097, 1846
1099, 1845
1101, 1844
1103, 1844
1105, 1845
1107, 1846
1109, 1845
1111, 1847
1113, 1844
1115, 1845
1117, 1843
1119, 1842
1121, 1845
1123, 1844
1125, 1846
1127, 1844
1129, 1844
1131, 1846
1133, 1845
1135, 1844
1137, 1843
1139, 1845
1141, 1845
1143, 1843
1145, 1845
1147, 1843
1149, 1845
1151, 1845
1153, 1845
1155, 1845
1157, 1845
1159, 1843
1161, 1843
1163, 1844
1165, 1844
1167, 1844
1169, 1845
1171, 1845
1173, 1842
1175, 1845
1177, 1847
1179, 1846
1181, 1843
1183, 1844
1185, 1844
1187, 1845
1189, 1846
1191, 1846
1193, 1842
1195, 1845
1197, 1845
1199, 1845
1201, 1845
1203, 1845
1205, 1845
1207, 1843
1209, 1845
1211, 1846
1213, 1846
1215, 1845
1217, 1846
1219, 1843
1221, 1842
1223, 1845
1225, 1845
1227, 1845
1229, 1845
1231, 1845
1233, 1845
1235, 1844
1237, 1843
1239, 1845
1241, 1845
1243, 1845
1245, 1846
1247, 1843
1249, 1846
1251, 1843
1253, 1845
1255, 1845
1257, 1844
1259, 1843
1261, 1846
1263, 1844
1265, 1846
1267, 1847
1269, 1843
1271, 1845
1273, 1845
1275, 1844
1277, 1844
1279, 1845
1281, 1845
1283, 1845
1285, 1845
1287, 1845
1289, 1843
1291, 1843
1293, 1845
1295, 1843
1297, 1844
1299, 1843
1301, 1843
1303, 1845
1305, 1845
1307, 1845
1309, 1845
1311, 1844
1313, 1845
1315, 1846
1317, 1846
1319, 1845
1321, 1845
1323, 1846
1325, 1845
1327, 1845
1329, 1844
1331, 1845
1333, 1842
1335, 1844
1337, 1845
1339, 1845
1341, 1845
1343, 1843
1345, 1845
1347, 1847
1349, 1845
1351, 1844
1353, 1846
1355, 1845
1357, 1845
1359, 1845
1361, 1845
1363, 1845
1365, 1846
1367, 1845
1369, 1846
1371, 1845
1373, 1845
1375, 1845
1377, 1845
1379, 1843
1381, 1845
1383, 1844
1385, 1843
1387, 1846
1389, 1845
1391, 1845
1393, 1846
1395, 1843
1397, 1845
1399, 1846
